,mx1,mx2,mx3,mx4,mx5,mx6,mx7,cp1,cp2,ce19,ce37,cu1,cu2,cu3,cu4,cu5,cu7,cu16,cu17,cu18,cu19,cu20,cu21,cu23,cu25,cu29,cu34,cu37,cu38,cu41,cu52,cu53,cu54,cu55,cu56,cu57,cu61,cu64,cu65,cu67,cu68,cu72,cu74,cu75,cu76,cu77,cu78,cu80,cu81,cu82,cu83,cu84,cu85
29835,4.0,0.0,3.0,1.0,0.0,0.0,0.0,34.0,1.0,3.0,4000.0,9.0,4.0,5.0,418098.0,24149.0,307.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,3.0,631.0,0.0,0.0,0.0,0.0,0.0,31.0,2805.0,-1.0,31.0,1.0,400.0,4.0,0.0,21.0,21.0,9.0,64.0,47.0,84.0,47.0,631.0,24149.0,2424.0
1778,15.0,1.0,4.0,11.0,3.0,3.0,3.0,41.0,2.0,5.0,1480.0,61.0,48.0,13.0,165803.0,40780.0,400.0,38.0,2.0,3.0,3.0,6.0,10.0,0.0,36.0,5.0,10.0,0.0,5.0,22.0,3.0,5.0,5.0,8.0,15.0,3.0,3.0,3586.0,29.0,2.0,1300.0,4.0,0.0,39.0,39.0,7.0,110.0,63.0,6.0,63.0,22.0,1488.0,12068.0
10495,8.0,0.0,3.0,4.0,2.0,2.0,2.0,35.0,2.0,9.0,1000.0,35.0,29.0,6.0,38930.0,38.0,457.0,25.0,0.0,0.0,1.0,3.0,4.0,0.0,24.0,8.0,3.0,1.0,2.0,67.0,1.0,1.0,4.0,6.0,9.0,3.0,3.0,67.0,11.0,0.0,0.0,1.0,3000.0,7.0,7.0,0.0,7.0,1.0,14.0,1.0,29.0,1976.0,2204.0
19228,6.0,2.0,4.0,3.0,4.0,4.0,4.0,30.0,1.0,26.0,6000.0,8.0,4.0,4.0,14651.0,834.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,4.0,3.0,0.0,2.0,6.0,3.0,4.0,4.0,4.0,6.0,11.0,11.0,-1.0,11.0,1.0,600.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,6.0,278.0,600.0
7024,9.0,0.0,9.0,4.0,0.0,0.0,0.0,36.0,2.0,10.0,8500.0,20.0,15.0,5.0,168790.0,102102.0,1200.0,0.0,1.0,1.0,1.0,7.0,15.0,0.0,15.0,7.0,4.0,1.0,0.0,192.0,1.0,2.0,2.0,5.0,19.0,21.0,21.0,58.0,127.0,2.0,16883.0,1.0,0.0,3.0,3.0,1.0,4.0,3.0,1.0,3.0,9.0,109999.0,58791.0
31921,14.0,2.0,14.0,13.0,3.0,7.0,10.0,37.0,2.0,15.0,6000.0,27.0,25.0,2.0,26139.0,33857.0,300.0,11.0,2.0,5.0,9.0,14.0,14.0,0.0,25.0,16.0,2.0,0.0,1.0,40.0,1.0,3.0,7.0,14.0,14.0,17.0,17.0,-1.0,17.0,1.0,5200.0,2.0,0.0,24.0,24.0,11.0,47.0,44.0,6.0,44.0,30.0,26139.0,0.0
20791,10.0,0.0,10.0,7.0,1.0,4.0,8.0,37.0,1.0,9.0,2000.0,29.0,22.0,7.0,19727.0,58.0,1300.0,19.0,1.0,3.0,3.0,3.0,3.0,0.0,22.0,21.0,5.0,2.0,5.0,29.0,1.0,4.0,4.0,8.0,8.0,13.0,13.0,23.0,13.0,1.0,2500.0,1.0,34400.0,4.0,4.0,1.0,4.0,6.0,1.0,6.0,29.0,62.0,9121.0
20354,10.0,3.0,8.0,6.0,2.0,2.0,3.0,42.0,1.0,11.0,4000.0,14.0,6.0,8.0,110789.0,94369.0,500.0,3.0,2.0,2.0,2.0,3.0,3.0,0.0,4.0,3.0,4.0,3.0,4.0,17.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,484.0,4.0,0.0,0.0,5.0,14663.0,23.0,23.0,17.0,91.0,48.0,18.0,48.0,17.0,94369.0,476.0
6535,25.0,5.0,14.0,14.0,7.0,7.0,8.0,56.0,1.0,7.0,2000.0,42.0,21.0,21.0,515628.0,377211.0,400.0,7.0,2.0,5.0,5.0,11.0,14.0,0.0,18.0,15.0,10.0,0.0,6.0,31.0,0.0,6.0,7.0,12.0,17.0,8.0,8.0,-1.0,8.0,9.0,152377.0,10.0,0.0,24.0,24.0,9.0,134.0,84.0,27.0,27.0,31.0,33889.0,6971.0
1456,13.0,2.0,13.0,6.0,3.0,5.0,11.0,21.0,1.0,12.0,7000.0,28.0,22.0,6.0,26658.0,0.0,61.0,1.0,3.0,4.0,7.0,12.0,21.0,0.0,21.0,19.0,6.0,0.0,4.0,29.0,2.0,4.0,6.0,17.0,26.0,7.0,7.0,-1.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,29.0,0.0,22465.0
